id,domain,heard,correct,notes
3633,rcc_work,सुन कॉन क्रिएट ढलाई में वाई ब्रेटर शार्ट पड़ गया कल स्टटरिंग ठीक करो सर,सुन कंक्रीट ढलाई में वाइब्रेटर शार्ट पड़ गया कल शटरिंग ठीक करो सर।,concrete/vibrator/shuttering hallucinations; speaker_format: contractor_to_ae
3634,rcc_work,अरे कॉंग क्रिएट सेटिंग कल बाकी थी स्टटरिंग आज खुलेगा मेट रियल घटिया था यार,अरे कंक्रीट सेटिंग कल बाकी थी शटरिंग आज खुलेगा मटेरियल घटिया था यार।,concrete/shuttering/material hallucinations; speaker_format: site_engineer_to_je
3635,rcc_work,सर कॉन क्रिएट गाड़ी रुकी है जाम में स्टटरिंग खुली रह गई वाई ब्रेटर कहाँ है अबे,सर कंक्रीट गाड़ी रुकी है जाम में शटरिंग खुली रह गई वाइब्रेटर कहाँ है अबे?,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_je
3636,rcc_work,अबे कॉंग क्रिएट वेस्ट मत कर रास्ते में स्टटरिंग पैक कर मैड रियल कॉस्ट बढ़ जाएगा कल,अबे कंक्रीट वेस्ट मत कर रास्ते में शटरिंग पैक कर मटेरियल कॉस्ट बढ़ जाएगा कल।,concrete/shuttering/material hallucinations; speaker_format: contractor_to_supervisor
3637,rcc_work,हाँ कॉन क्रिएट रूफ डन स्टटरिंग ठोक वाई ब्रेटर ऑपरेटर को बुला,हाँ कंक्रीट रूफ डन शटरिंग ठोक वाइब्रेटर ऑपरेटर को बुला।,concrete/shuttering/vibrator hallucinations; speaker_format: je_to_supervisor
3638,rcc_work,रुक कॉंग क्रिएट पंप क्लीन कर स्टटरिंग कल निकालना मेट रियल स्टोर कर,रुक कंक्रीट पंप क्लीन कर शटरिंग कल निकालना मटेरियल स्टोर कर।,concrete/shuttering/material hallucinations; speaker_format: supervisor_to_labor
3639,rcc_work,सुन कॉन क्रिएट जल्दी डाल स्टटरिंग टाइट रख वाई ब्रेटर बंद मत कर,सुन कंक्रीट जल्दी डाल शटरिंग टाइट रख वाइब्रेटर बंद मत कर।,concrete/shuttering/vibrator hallucinations; speaker_format: site_engineer_to_labor
3640,rcc_work,अरे कॉंग क्रिएट टेस्ट पास स्टटरिंग स्ट्रांग है मैड रियल स्टॉक करो,अरे कंक्रीट टेस्ट पास शटरिंग स्ट्रांग है मटेरियल स्टॉक करो।,concrete/shuttering/material hallucinations; speaker_format: ae_to_je
3641,rcc_work,सर कॉन क्रिएट केमिकल डालो स्टटरिंग गीली करो वाई ब्रेटर चलाओ,सर कंक्रीट केमिकल डालो शटरिंग गीली करो वाइब्रेटर चलाओ।,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_labor
3642,rcc_work,अबे कॉंग क्रिएट डिले है स्टटरिंग ठोक दो मेट रियल आने वाला है,अबे कंक्रीट डिले है शटरिंग ठोक दो मटेरियल आने वाला है।,concrete/shuttering/material hallucinations; speaker_format: contractor_to_supervisor
3643,rcc_work,हाँ कॉन क्रिएट ट्रक आ गया स्टटरिंग सपोर्ट देख वाई ब्रेटर चालू कर,हाँ कंक्रीट ट्रक आ गया शटरिंग सपोर्ट देख वाइब्रेटर चालू कर।,concrete/shuttering/vibrator hallucinations; speaker_format: je_to_contractor
3644,rcc_work,रुक भाई कॉंग क्रिएट जम रहा है स्टटरिंग मत खोलना मैड रियल कच्चा है,रुक भाई कंक्रीट जम रहा है शटरिंग मत खोलना मटेरियल कच्चा है।,concrete/shuttering/material hallucinations; speaker_format: supervisor_to_labor
3645,rcc_work,सुन कॉन क्रिएट ढलाई में वाई ब्रेटर शार्ट पड़ गया स्टटरिंग ठीक करो,सुन कंक्रीट ढलाई में वाइब्रेटर शार्ट पड़ गया शटरिंग ठीक करो।,concrete/vibrator/shuttering hallucinations; speaker_format: contractor_to_ae
3646,rcc_work,अरे कॉंग क्रिएट सेटिंग बाकी है स्टटरिंग कल खुलेगा मेट रियल घटिया था,अरे कंक्रीट सेटिंग बाकी है शटरिंग कल खुलेगा मटेरियल घटिया था।,concrete/shuttering/material hallucinations; speaker_format: site_engineer_to_je
3647,rcc_work,सर कॉन क्रिएट गाड़ी रुकी है स्टटरिंग खुली रह गई वाई ब्रेटर कहाँ है,सर कंक्रीट गाड़ी रुकी है शटरिंग खुली रह गई वाइब्रेटर कहाँ है?,concrete/shuttering/vibrator hallucinations; speaker_format: supervisor_to_je
3648,rcc_work,अबे कॉंग क्रिएट वेस्ट मत कर स्टटरिंग पैक कर मैड रियल कॉस्ट बढ़ जाएगा,अबे कंक्रीट वेस्ट मत कर शटरिंग पैक कर मटेरियल कॉस्ट बढ़ जाएगा।,concrete/shuttering/material hallucinations; speaker_format: contractor_to_supervisor
3649,rcc_work,हाँ कॉन क्रिएट रूफ डन स्टटरिंग ठोक वाई ब्रेटर ऑपरेटर को बुलाओ,हाँ कंक्रीट रूफ डन शटरिंग ठोक वाइब्रेटर ऑपरेटर को बुलाओ।,concrete/shuttering/vibrator hallucinations; speaker_format: je_to_supervisor
3650,rcc_work,रुक कॉंग क्रिएट पंप क्लीन कर स्टटरिंग कल निकालना मेट रियल बचा ले,रुक कंक्रीट पंप क्लीन कर शटरिंग कल निकालना मटेरियल बचा ले।,concrete/shuttering/material hallucinations; speaker_format: supervisor_to_labor
3651,rcc_work,सुन कॉन क्रिएट जल्दी डाल स्टटरिंग टाइट रख वाई ब्रेटर चला के,सुन कंक्रीट जल्दी डाल शटरिंग टाइट रख वाइब्रेटर चला के।,concrete/shuttering/vibrator hallucinations; speaker_format: site_engineer_to_labor
3652,machinery,अबे जूसी ऑपरेटर को कॉल लगा पोक लेन से मिट्टी उठाये हाईवे पे लोड करे जल्दी,अबे जेसीबी ऑपरेटर को कॉल लगा पोकलेन से मिट्टी उठाये हाइवा पे लोड करे जल्दी।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3653,earthwork,हाँ सर जे एस बी से एक्स्ट्रा विज़न शुरू किया सुबह पॉलीथिन कल आएगी साइट पे पक्का,हाँ सर जेसीबी से एक्सावेशन शुरू किया सुबह पोकलेन कल आएगी साइट पे पक्का।,JCB/excavation/Poclain hallucinations; speaker_format: je_to_ae
3654,earthwork,रुक जय सी बी का डीजल खत्म हो गया हाई बार खड़ा है एग्जीबिशन रोक दो भाई थोड़ी देर,रुक जेसीबी का डीजल खत्म हो गया हाइवा खड़ा है एक्सावेशन रोक दो भाई थोड़ी देर।,JCB/Hyva/excavation hallucinations; speaker_format: supervisor_to_contractor
3655,machinery,सुन भाई जूसी का टायर पंक्चर है पोक लेन भेजो हाईवे लोड करना है शाम तक,सुन भाई जेसीबी का टायर पंक्चर है पोकलेन भेजो हाइवा लोड करना है शाम तक।,JCB/Poclain/Hyva hallucinations; speaker_format: operator_to_contractor
3656,earthwork,अरे जे एस बी से ट्रेंच खोदो रोड पे पॉलीथिन एक्स्ट्रा विज़न कर देगी आज शाम तक आराम से,अरे जेसीबी से ट्रेंच खोदो रोड पे पोकलेन एक्सावेशन कर देगी आज शाम तक आराम से।,JCB/Poclain/excavation hallucinations; speaker_format: site_engineer_to_operator
3657,earthwork,सर जय सी बी वापस भेजो शोरूम हाई बार में मिट्टी लोड कर एग्जीबिशन खत्म करो अपना,सर जेसीबी वापस भेजो शोरूम हाइवा में मिट्टी लोड कर एक्सावेशन ख़त्म करो अपना।,JCB/Hyva/excavation hallucinations; speaker_format: je_to_contractor
3658,machinery,अबे जूसी सो रहा है केबिन में पोक लेन से मिट्टी खाली कर हाईवे में डाल अबे,अबे जेसीबी सो रहा है केबिन में पोकलेन से मिट्टी खाली कर हाइवा में डाल अबे।,JCB/Poclain/Hyva hallucinations; speaker_format: supervisor_to_labor
3659,earthwork,हाँ जे एस बी और पॉलीथिन दोनों फ्यूल मांग रहे टैंकर लाओ एक्स्ट्रा विज़न चालू है सर इधर,हाँ जेसीबी और पोकलेन दोनों फ्यूल मांग रहे टैंकर लाओ एक्सावेशन चालू है सर इधर।,JCB/Poclain/excavation hallucinations; speaker_format: je_to_ae
3660,earthwork,रुक जय सी बी को हटाओ लाइन से हाई बार आने दो एग्जीबिशन डेप्थ चेक कर ले टेप से,रुक जेसीबी को हटाओ लाइन से हाइवा आने दो एक्सावेशन डेप्थ चेक कर ले टेप से।,JCB/Hyva/excavation hallucinations; speaker_format: site_engineer_to_supervisor
3661,machinery,सुन जूसी ऑपरेटर गायब है साइट से पोक लेन शुरू करो हाईवे को रास्ता दो भाई पहले,सुन जेसीबी ऑपरेटर गायब है साइट से पोकलेन शुरू करो हाइवा को रास्ता दो भाई पहले।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3662,earthwork,अरे जे एस बी से रोड काट दो पॉलीथिन मिट्टी डालेगी एक्स्ट्रा विज़न लम्बा है,अरे जेसीबी से रोड काट दो पोकलेन मिट्टी डालेगी एक्सावेशन लम्बा है।,JCB/Poclain/excavation hallucinations; speaker_format: je_to_operator
3663,earthwork,सर जय सी बी से पाइप उठवाओ हाई बार भरा है एग्जीबिशन चालू करो,सर जेसीबी से पाइप उठवाओ हाइवा भरा है एक्सावेशन चालू करो।,JCB/Hyva/excavation hallucinations; speaker_format: supervisor_to_contractor
3664,machinery,अबे जूसी मैकेनिक बुला पोक लेन फँस गया हाईवे में मिट्टी जम गई,अबे जेसीबी मैकेनिक बुला पोकलेन फँस गया हाइवा में मिट्टी जम गई।,JCB/Poclain/Hyva hallucinations; speaker_format: operator_to_contractor
3665,earthwork,हाँ जे एस बी काम कर रही पॉलीथिन का सर्विस बाकी एक्स्ट्रा विज़न डीप है,हाँ जेसीबी काम कर रही पोकलेन का सर्विस बाकी एक्सावेशन डीप है।,JCB/Poclain/excavation hallucinations; speaker_format: je_to_ae
3666,earthwork,रुक जय सी बी साइड में लगाओ हाई बार डिस्पैच करो एग्जीबिशन का बिल बना,रुक जेसीबी साइड में लगाओ हाइवा डिस्पैच करो एक्सावेशन का बिल बना।,JCB/Hyva/excavation hallucinations; speaker_format: contractor_to_clerk
3667,machinery,सुन जूसी ऑपरेटर को बोल पोक लेन से मिट्टी उठाये हाईवे पे डाल,सुन जेसीबी ऑपरेटर को बोल पोकलेन से मिट्टी उठाये हाइवा पे डाल।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3668,earthwork,हाँ सर जे एस बी से एक्स्ट्रा विज़न शुरू किया पॉलीथिन कल आएगी,हाँ सर जेसीबी से एक्सावेशन शुरू किया पोकलेन कल आएगी।,JCB/excavation/Poclain hallucinations; speaker_format: je_to_ae
3669,earthwork,रुक जय सी बी का डीजल खत्म हाई बार खड़ा है एग्जीबिशन रोक दो,रुक जेसीबी का डीजल खत्म हाइवा खड़ा है एक्सावेशन रोक दो।,JCB/Hyva/excavation hallucinations; speaker_format: supervisor_to_contractor
3670,machinery,सुन भाई जूसी का टायर पंक्चर पोक लेन भेजो हाईवे लोड करना है,सुन भाई जेसीबी का टायर पंक्चर पोकलेन भेजो हाइवा लोड करना है।,JCB/Poclain/Hyva hallucinations; speaker_format: operator_to_contractor
3671,earthwork,अरे जे एस बी से ट्रेंच खोदो पॉलीथिन एक्स्ट्रा विज़न कर देगी आज,अरे जेसीबी से ट्रेंच खोदो पोकलेन एक्सावेशन कर देगी आज।,JCB/Poclain/excavation hallucinations; speaker_format: site_engineer_to_operator
3672,earthwork,सर जय सी बी वापस भेजो हाई बार में मिट्टी लोड कर एग्जीबिशन ख़त्म,सर जेसीबी वापस भेजो हाइवा में मिट्टी लोड कर एक्सावेशन ख़त्म।,JCB/Hyva/excavation hallucinations; speaker_format: je_to_contractor
3673,machinery,अबे जूसी सो रहा है पोक लेन से मिट्टी खाली कर हाईवे में,अबे जेसीबी सो रहा है पोकलेन से मिट्टी खाली कर हाइवा में।,JCB/Poclain/Hyva hallucinations; speaker_format: supervisor_to_labor
3674,earthwork,हाँ जे एस बी और पॉलीथिन फ्यूल मांग रहे एक्स्ट्रा विज़न चालू है,हाँ जेसीबी और पोकलेन फ्यूल मांग रहे एक्सावेशन चालू है।,JCB/Poclain/excavation hallucinations; speaker_format: je_to_ae
3675,earthwork,रुक जय सी बी को हटाओ हाई बार आने दो एग्जीबिशन डेप्थ चेक कर,रुक जेसीबी को हटाओ हाइवा आने दो एक्सावेशन डेप्थ चेक कर।,JCB/Hyva/excavation hallucinations; speaker_format: site_engineer_to_supervisor
3676,machinery,सुन जूसी ऑपरेटर गायब पोक लेन शुरू करो हाईवे को रास्ता दो,सुन जेसीबी ऑपरेटर गायब पोकलेन शुरू करो हाइवा को रास्ता दो।,JCB/Poclain/Hyva hallucinations; speaker_format: contractor_to_supervisor
3677,billing,सुन टीचर का पे मिंट बचा है एम बी बुक क्लर्क के पास है अभी तक जमा नहीं हुई,सुन ठेकेदार का पेमेंट बचा है एमबी बुक क्लर्क के पास है अभी तक जमा नहीं हुई।,contractor/payment/MB book hallucinations; speaker_format: je_to_supervisor
3678,billing,अरे टेक अ दर बोल रहा बिल नहीं आया पिछला हाज़िरी रजिस्टर भेज दो जल्दी से जल्दी,अरे ठेकेदार बोल रहा बिल नहीं आया पिछला हाज़िरी रजिस्टर भेज दो जल्दी से जल्दी।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_je
3679,billing,सर ठेकेदार का पी मिंट रोक दो अकाउंट में एम बी बुक में एंट्री गलत है पूरी तरह,सर ठेकेदार का पेमेंट रोक दो अकाउंट में एमबी बुक में एंट्री गलत है पूरी तरह।,contractor/payment/MB book hallucinations; speaker_format: site_engineer_to_ae
3680,billing,अबे टीचर का बिल पास हो गया पिछले हफ्ते हाज़िरी मैच नहीं कर रही थी उसकी,अबे ठेकेदार का बिल पास हो गया पिछले हफ्ते हाज़िरी मैच नहीं कर रही थी उसकी।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_je
3681,billing,हाँ टेक अ दर एडवांस मांग रहा आके पे मिंट डिले है एम बी बुक साइन करवा लो उससे,हाँ ठेकेदार एडवांस मांग रहा आके पेमेंट डिले है एमबी बुक साइन करवा लो उससे।,contractor/payment/MB book hallucinations; speaker_format: je_to_clerk
3682,billing,रुक ठेकेदार भाग गया गांव पी मिंट फँस गया इधर हाज़िरी कौन वेरीफाई करेगा अब ठीक से,रुक ठेकेदार भाग गया गांव पेमेंट फँस गया इधर हाज़िरी कौन वेरीफाई करेगा अब ठीक से?,contractor/payment/attendance hallucinations; speaker_format: supervisor_to_je
3683,billing,सुन टीचर का पे मिंट ऑनलाइन होगा इस बार एम बी बुक फोटो खिंचवा लो कल सुबह,सुन ठेकेदार का पेमेंट ऑनलाइन होगा इस बार एमबी बुक फोटो खिंचवा लो कल सुबह।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_contractor
3684,billing,अरे टेक अ दर मीटिंग में है अंदर बिल सबमिट नहीं हुआ हाज़िरी कॉपी ला दे बाहर से,अरे ठेकेदार मीटिंग में है अंदर बिल सबमिट नहीं हुआ हाज़िरी कॉपी ला दे बाहर से।,contractor/bill/attendance hallucinations; speaker_format: je_to_clerk
3685,billing,सर ठेकेदार का पी मिंट कट गया पेनल्टी में एम बी बुक वेरीफाई की हाज़िरी फ्रॉड थी सर,सर ठेकेदार का पेमेंट कट गया पेनल्टी में एमबी बुक वेरीफाई की हाज़िरी फ्रॉड थी सर।,contractor/payment/MB book hallucinations; speaker_format: ae_to_clerk
3686,billing,अबे टीचर ने नया बिल दिया है आज हाज़िरी बढ़ा कर पे मिंट डबल हुआ इसका देखो,अबे ठेकेदार ने नया बिल दिया है आज हाज़िरी बढ़ा कर पेमेंट डबल हुआ इसका देखो।,contractor/bill/payment hallucinations; speaker_format: clerk_to_je
3687,billing,हाँ टेक अ दर को फाइनल बिल दे दिया एम बी बुक क्लोज किया हाज़िरी फुल,हाँ ठेकेदार को फाइनल बिल दे दिया एमबी बुक क्लोज किया हाज़िरी फुल।,contractor/MB book/attendance hallucinations; speaker_format: je_to_clerk
3688,billing,रुक ठेकेदार का पी मिंट क्लियर एम बी बुक फाइनल साइन हाज़िरी रजिस्टर चेक कर,रुक ठेकेदार का पेमेंट क्लियर एमबी बुक फाइनल साइन हाज़िरी रजिस्टर चेक कर।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_supervisor
3689,billing,सुन टीचर चिल्ला रहा पे मिंट क्यों रोकी एम बी बुक में मेजरमेंट नहीं,सुन ठेकेदार चिल्ला रहा पेमेंट क्यों रोकी एमबी बुक में मेजरमेंट नहीं।,contractor/payment/MB book hallucinations; speaker_format: je_to_ae
3690,billing,अरे टेक अ दर का बिल कल प्रोसेस होगा हाज़िरी शीट दे दे,अरे ठेकेदार का बिल कल प्रोसेस होगा हाज़िरी शीट दे दे।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_contractor
3691,billing,सर ठेकेदार की पी मिंट बाँट दी एम बी बुक ठीक थी हाज़िरी सौ परसेंट,सर ठेकेदार की पेमेंट बाँट दी एमबी बुक ठीक थी हाज़िरी हंड्रेड परसेंट।,contractor/payment/MB book hallucinations; speaker_format: je_to_ae
3692,billing,सुन टीचर का पे मिंट बचा है एम बी बुक क्लर्क के पास है,सुन ठेकेदार का पेमेंट बचा है एमबी बुक क्लर्क के पास है।,contractor/payment/MB book hallucinations; speaker_format: je_to_supervisor
3693,billing,अरे टेक अ दर बोल रहा बिल नहीं आया हाज़िरी रजिस्टर भेज दो,अरे ठेकेदार बोल रहा बिल नहीं आया हाज़िरी रजिस्टर भेज दो।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_je
3694,billing,सर ठेकेदार का पी मिंट रोक दो एम बी बुक में एंट्री गलत है,सर ठेकेदार का पेमेंट रोक दो एमबी बुक में एंट्री गलत है।,contractor/payment/MB book hallucinations; speaker_format: site_engineer_to_ae
3695,billing,अबे टीचर का बिल पास हो गया हाज़िरी मैच नहीं कर रही,अबे ठेकेदार का बिल पास हो गया हाज़िरी मैच नहीं कर रही।,contractor/bill/attendance hallucinations; speaker_format: clerk_to_je
3696,billing,हाँ टेक अ दर एडवांस मांग रहा पे मिंट डिले है एम बी बुक साइन करवा,हाँ ठेकेदार एडवांस मांग रहा पेमेंट डिले है एमबी बुक साइन करवा।,contractor/payment/MB book hallucinations; speaker_format: je_to_clerk
3697,billing,रुक ठेकेदार भाग गया पी मिंट फँस गया हाज़िरी कौन वेरीफाई करेगा,रुक ठेकेदार भाग गया पेमेंट फँस गया हाज़िरी कौन वेरीफाई करेगा?,contractor/payment/attendance hallucinations; speaker_format: supervisor_to_je
3698,billing,सुन टीचर का पे मिंट ऑनलाइन होगा एम बी बुक फोटो खिंचवा लो,सुन ठेकेदार का पेमेंट ऑनलाइन होगा एमबी बुक फोटो खिंचवा लो।,contractor/payment/MB book hallucinations; speaker_format: clerk_to_contractor
3699,billing,अरे टेक अ दर मीटिंग में है बिल सबमिट नहीं हुआ हाज़िरी कॉपी ला,अरे ठेकेदार मीटिंग में है बिल सबमिट नहीं हुआ हाज़िरी कॉपी ला।,contractor/bill/attendance hallucinations; speaker_format: je_to_clerk
3700,billing,सर ठेकेदार का पी मिंट कट गया एम बी बुक वेरीफाई की हाज़िरी फ्रॉड थी,सर ठेकेदार का पेमेंट कट गया एमबी बुक वेरीफाई की हाज़िरी फ्रॉड थी।,contractor/payment/MB book hallucinations; speaker_format: ae_to_clerk
3701,billing,अबे टीचर ने नया बिल दिया हाज़िरी बढ़ा कर पे मिंट डबल हुआ,अबे ठेकेदार ने नया बिल दिया हाज़िरी बढ़ा कर पेमेंट डबल हुआ।,contractor/bill/payment hallucinations; speaker_format: clerk_to_je
3702,water_supply,सर समरसेब मोटर जल गया रात में पीच ही को बताओ वाटर प्रूफ भी बाकी है अभी वहाँ,सर सबमर्सिबल मोटर जल गया रात में पीएचई को बताओ वाटरप्रूफ भी बाकी है अभी वहाँ।,submersible/PHE/waterproof hallucinations; speaker_format: contractor_to_je
3703,water_supply,अबे समर्सबल मोटर फँस गया बोर में पी ए च वालो को बुलवाओ वाटर प्रूफिंग रोक दो भाई लोग,अबे सबमर्सिबल मोटर फँस गया बोर में पीएचई वालों को बुलवाओ वाटरप्रूफिंग रोक दो भाई लोग।,submersible/PHE/waterproofing hallucinations; speaker_format: supervisor_to_ae
3704,water_supply,हाँ समरसेब मोटर का पाइप डालो अंदर पीच ही एई थे वाटर प्रूफ रूम में कल दोपहर,हाँ सबमर्सिबल मोटर का पाइप डालो अंदर पीएचई एई थे वाटरप्रूफ रूम में कल दोपहर।,submersible/PHE/waterproof hallucinations; speaker_format: je_to_contractor
3705,water_supply,रुक समर्सबल मोटर में कचरा है साफ़ कर पी ए च खुश है वाटर प्रूफिंग स्टार्ट कर दे जल्दी,रुक सबमर्सिबल मोटर में कचरा है साफ़ कर पीएचई खुश है वाटरप्रूफिंग स्टार्ट कर दे जल्दी।,submersible/PHE/waterproofing hallucinations; speaker_format: site_engineer_to_contractor
3706,water_supply,सुन समरसेब मोटर निकलवा दो पाइप से पीच ही वाले नाराज़ हैं वाटर प्रूफ टेस्टिंग बाकी है यार,सुन सबमर्सिबल मोटर निकलवा दो पाइप से पीएचई वाले नाराज़ हैं वाटरप्रूफ टेस्टिंग बाकी है यार।,submersible/PHE/waterproof hallucinations; speaker_format: ae_to_je
3707,water_supply,अरे समर्सबल मोटर रिपेयर में गयी शहर पी ए च का प्रेशर है वाटर प्रूफिंग बचा लो अब किसी तरह,अरे सबमर्सिबल मोटर रिपेयर में गई शहर पीएचई का प्रेशर है वाटरप्रूफिंग बचा लो अब किसी तरह।,submersible/PHE/waterproofing hallucinations; speaker_format: je_to_ae
3708,water_supply,सर समरसेब मोटर ऑन करो टंकी के लिए पीच ही का अफसर आया वाटर प्रूफ होना चाहिए ज़रूर आज,सर सबमर्सिबल मोटर ऑन करो टंकी के लिए पीएचई का अफसर आया वाटरप्रूफ होना चाहिए ज़रूर आज।,submersible/PHE/waterproof hallucinations; speaker_format: contractor_to_supervisor
3709,water_supply,अबे समर्सबल मोटर जली हुई निकली कॉइल पी ए च को रिपोर्ट करो वाटर प्रूफिंग छत टपकी है पानी से,अबे सबमर्सिबल मोटर जली हुई निकली कॉइल पीएचई को रिपोर्ट करो वाटरप्रूफिंग छत टपकी है पानी से।,submersible/PHE/waterproofing hallucinations; speaker_format: je_to_clerk
3710,water_supply,हाँ समरसेब मोटर टेस्टिंग बाकी है अभी पीच ही सबमिट करना वाटर प्रूफ वायर दे दो मुझे नया,हाँ सबमर्सिबल मोटर टेस्टिंग बाकी है अभी पीएचई सबमिट करना वाटरप्रूफ वायर दे दो मुझे नया।,submersible/PHE/waterproof hallucinations; speaker_format: site_engineer_to_contractor
3711,water_supply,रुक समर्सबल मोटर वापस भेज दी उन्होंने पी ए च रिजेक्ट कर दिया वाटर प्रूफिंग वीडियो भेज जल्दी सर को,रुक सबमर्सिबल मोटर वापस भेज दी उन्होंने पीएचई रिजेक्ट कर दिया वाटरप्रूफिंग वीडियो भेज जल्दी सर को।,submersible/PHE/waterproofing hallucinations; speaker_format: ae_to_je
3712,water_supply,सुन समरसेब मोटर केबल जली पीच ही से बहस हुई वाटर प्रूफ शीट फट गई,सुन सबमर्सिबल मोटर केबल जली पीएचई से बहस हुई वाटरप्रूफ शीट फट गई।,submersible/PHE/waterproof hallucinations; speaker_format: contractor_to_je
3713,water_supply,अरे समर्सबल मोटर वापस आ रही पी ए च क्लीयरेंस दी वाटर प्रूफिंग ठीक है,अरे सबमर्सिबल मोटर वापस आ रही पीएचई क्लीयरेंस दी वाटरप्रूफिंग ठीक है।,submersible/PHE/waterproofing hallucinations; speaker_format: je_to_ae
3714,water_supply,सर समरसेब मोटर ठीक हो गई पीच ही एनओसी देगा वाटर प्रूफ रिपोर्ट भी,सर सबमर्सिबल मोटर ठीक हो गई पीएचई एनओसी देगा वाटरप्रूफ रिपोर्ट भी।,submersible/PHE/waterproof hallucinations; speaker_format: site_engineer_to_clerk
3715,water_supply,अबे समर्सबल मोटर ऑन नहीं हो रहा पी ए च वाले गुस्सा हैं वाटर प्रूफिंग डन,अबे सबमर्सिबल मोटर ऑन नहीं हो रहा पीएचई वाले गुस्सा हैं वाटरप्रूफिंग डन।,submersible/PHE/waterproofing hallucinations; speaker_format: supervisor_to_ae
3716,water_supply,हाँ समरसेब मोटर रीडिंग ले लो पीच ही एई आएगा वाटर प्रूफ एरिया साफ़ रख,हाँ सबमर्सिबल मोटर रीडिंग ले लो पीएचई एई आएगा वाटरप्रूफ एरिया साफ़ रख।,submersible/PHE/waterproof hallucinations; speaker_format: je_to_contractor
3717,water_supply,सर समरसेब मोटर जल गया पीच ही को बताओ वाटर प्रूफ भी बाकी है,सर सबमर्सिबल मोटर जल गया पीएचई को बताओ वाटरप्रूफ भी बाकी है।,submersible/PHE/waterproof hallucinations; speaker_format: contractor_to_je
3718,water_supply,अबे समर्सबल मोटर फँस गया पी ए च वालो को बुलवाओ वाटर प्रूफिंग रोक दो,अबे सबमर्सिबल मोटर फँस गया पीएचई वालों को बुलवाओ वाटरप्रूफिंग रोक दो।,submersible/PHE/waterproofing hallucinations; speaker_format: supervisor_to_ae
3719,water_supply,हाँ समरसेब मोटर का पाइप डालो पीच ही एई थे वाटर प्रूफ रूम में,हाँ सबमर्सिबल मोटर का पाइप डालो पीएचई एई थे वाटरप्रूफ रूम में।,submersible/PHE/waterproof hallucinations; speaker_format: je_to_contractor
3720,water_supply,रुक समर्सबल मोटर में कचरा है पी ए च खुश है वाटर प्रूफिंग स्टार्ट कर,रुक सबमर्सिबल मोटर में कचरा है पीएचई खुश है वाटरप्रूफिंग स्टार्ट कर।,submersible/PHE/waterproofing hallucinations; speaker_format: site_engineer_to_contractor
3721,water_supply,सुन समरसेब मोटर निकलवा दो पीच ही वाले नाराज़ हैं वाटर प्रूफ टेस्टिंग है,सुन सबमर्सिबल मोटर निकलवा दो पीएचई वाले नाराज़ हैं वाटरप्रूफ टेस्टिंग है।,submersible/PHE/waterproof hallucinations; speaker_format: ae_to_je
3722,water_supply,अरे समर्सबल मोटर रिपेयर में गयी पी ए च का प्रेशर है वाटर प्रूफिंग बचा लो,अरे सबमर्सिबल मोटर रिपेयर में गई पीएचई का प्रेशर है वाटरप्रूफिंग बचा लो।,submersible/PHE/waterproofing hallucinations; speaker_format: je_to_ae
3723,water_supply,सर समरसेब मोटर ऑन करो पीच ही का अफसर आया वाटर प्रूफ होना चाहिए,सर सबमर्सिबल मोटर ऑन करो पीएचई का अफसर आया वाटरप्रूफ होना चाहिए।,submersible/PHE/waterproof hallucinations; speaker_format: contractor_to_supervisor
3724,water_supply,अबे समर्सबल मोटर जली हुई निकली पी ए च को रिपोर्ट करो वाटर प्रूफिंग छत टपकी,अबे सबमर्सिबल मोटर जली हुई निकली पीएचई को रिपोर्ट करो वाटरप्रूफिंग छत टपकी।,submersible/PHE/waterproofing hallucinations; speaker_format: je_to_clerk
3725,water_supply,हाँ समरसेब मोटर टेस्टिंग बाकी पीच ही सबमिट करना वाटर प्रूफ वायर दे दो,हाँ सबमर्सिबल मोटर टेस्टिंग बाकी पीएचई सबमिट करना वाटरप्रूफ वायर दे दो।,submersible/PHE/waterproof hallucinations; speaker_format: site_engineer_to_contractor
3726,water_supply,रुक समर्सबल मोटर वापस भेज दी पी ए च रिजेक्ट कर दिया वाटर प्रूफिंग वीडियो भेज,रुक सबमर्सिबल मोटर वापस भेज दी पीएचई रिजेक्ट कर दिया वाटरप्रूफिंग वीडियो भेज।,submersible/PHE/waterproofing hallucinations; speaker_format: ae_to_je
